,0
0,2.7842037677764893
1,2.575368881225586
2,2.702529191970825
3,2.5660219192504883
4,2.6371114253997803
5,2.544050693511963
6,2.7451138496398926
7,2.7283060550689697
8,2.5857388973236084
9,2.391491413116455
