index,asciiname,population,latitude,longitude
172,Santa Comba Dao,11597,40.39856,-8.1316
173,Avintes,11577,41.10711,-8.55131
174,Vila Real de Santo Antonio,11560,37.195,-7.41766
175,Almeirim,11557,39.20837,-8.62635
176,Rebordosa,11491,41.22405,-8.40669
177,Lousa,11445,40.11673,-8.24921
178,Esmoriz,11393,40.95773,-8.62753
179,Calendario,11357,41.40361,-8.52967
180,Moreira,11336,41.056,-8.38939
181,Vendas Novas,11248,38.67706,-8.45792
182,Santo Andre,11213,39.05532,-8.24414
183,Obidos,11187,39.36055,-9.1567
184,Sao Bras de Alportel,11153,37.1531,-7.88751
185,Sobreda,11146,38.64961,-9.18977
186,Santo Antonio da Charneca,11143,38.62561,-9.03043
187,Cucujaes,11087,40.87413,-8.50687
188,Ponte de Sor,11062,39.24964,-8.01009
189,Foz do Douro,10997,41.15119,-8.67125
190,Canecas,10978,38.81321,-9.22679
191,Anta,10951,41.26634,-8.62844
192,Lamego,10928,41.09741,-7.80991
193,Silves,10917,37.18921,-8.43822
194,Grijo,10907,41.02836,-8.58017
195,Vale da Amoreira,10828,39.06969,-7.69849
196,Grandola,10737,38.17718,-8.56675
197,Unhos,10712,38.81958,-9.12007
198,Gulpilhares,10660,41.08292,-8.62679
199,Margaride,10652,41.36478,-8.19999
200,Santo Andre,10601,38.06078,-8.7822
201,Charneca,10509,38.78351,-9.14348
202,Cartaxo,10502,39.16022,-8.78741
203,Aver-o-Mar,10501,41.40607,-8.77958
204,Sao Joao das Lampas,10484,38.87376,-9.39842
205,Carregado,10474,39.02362,-8.97692
206,Melres,10328,41.06989,-8.40091
207,Caldas de Vizela,10239,41.38212,-8.3089
208,Selho,10223,41.41938,-8.34599
209,Moimenta da Beira,10212,40.98383,-7.61765
210,Lordelo,10035,41.23451,-8.40297
211,Meadela,9981,41.70654,-8.79628
212,Elvas,9904,38.8815,-7.16282
213,Almancil,9898,37.08686,-8.03074
214,Maceira,9831,39.68853,-8.89423
215,Fundao,9725,40.14025,-7.50135
216,Alcochete,9705,38.75534,-8.96086
217,Santa Clara,9637,40.19985,-8.44018
218,Lavra,9633,41.25935,-8.71849
219,Alenquer,9626,39.05315,-9.00928
220,Lourosa,9619,40.9842,-8.55142
221,Madalena,9618,41.21616,-8.33451
222,Sao Joao de Ver,9568,40.95527,-8.55117
223,Rio de Loba,9529,40.66596,-7.87781
224,Vila Nova de Famalicao,9496,41.40797,-8.51978
225,Famoes,9435,38.78804,-9.21033
226,Moura,9360,38.1401,-7.44856
227,Estremoz,9350,38.84432,-7.58585
228,Abraveses,9319,40.68137,-7.92102
229,Valadares,9255,41.14737,-7.9812
230,Guifoes,9231,41.19748,-8.66899
231,Alcacer do Sal,9198,38.37326,-8.51444
232,Lourinha,9196,39.24166,-9.31254
233,Gondizalves,9148,41.54158,-8.4557
234,Quinta do Anjo,9124,38.56753,-8.94228
235,Vinhais,9066,41.83509,-7.00501
236,Marco de Canavezes,9042,41.18389,-8.14864
237,Caxias,9007,38.70314,-9.27666
238,Mem Martins,9000,38.79443,-9.34284
239,Nazare,8993,39.60289,-9.06836
240,Benavente,8932,38.97919,-8.80759
241,Campo,8916,41.18516,-8.46493
242,Mangualde,8895,40.60425,-7.76115
243,Queijas,8828,38.71925,-9.26255
244,Tondela,8800,40.51682,-8.08087
245,Coruche,8776,38.95955,-8.52524
246,Argoncilhe,8743,41.02541,-8.53885
247,Ribeirao,8735,41.36081,-8.56774
248,Fiaes,8708,40.99446,-8.52537
249,Sao Romao do Coronado,8697,41.28544,-8.5632
250,Estombar,8590,37.14629,-8.48505
251,Tavarede,8586,40.16692,-8.84568
252,Torre de Moncorvo,8572,41.17454,-7.05364
253,Benedita,8556,39.4247,-8.96996
254,Moncarapacho,8545,37.0836,-7.78763
255,Aves,8507,41.37034,-8.4101
256,Alpendurada,8485,41.08944,-8.24643
257,Soure,8416,40.05989,-8.62605
258,Bobadela,8399,38.80774,-9.09925
259,Sao Bartolomeu de Messines,8381,37.25648,-8.28672
260,Casteloes de Cepeda,8322,41.20265,-8.33516
261,Vila Vicosa,8319,38.7777,-7.41793
262,Atouguia da Baleia,8313,39.33814,-9.3263
263,Murtosa,8282,40.73695,-8.6377
264,Almargem,8271,38.84485,-9.27315
265,Campo Maior,8235,39.01774,-7.06497
266,Beduido,8201,40.76427,-8.5611
267,Darque,8092,41.68333,-8.76667
268,Penafiel,8065,41.20835,-8.28285
269,Serzedo,8000,41.40502,-8.22926
270,Freamunde,7983,41.28835,-8.33533
271,Albergaria-a-Velha,7974,40.69318,-8.47994
272,Alpiarca,7946,39.25712,-8.58187
273,Batalha,7910,39.66025,-8.82475
274,Colares,7905,38.79921,-9.44691
275,Serzedo,7891,41.05105,-8.61605
276,Sao Joao da Pesqueira,7874,41.14805,-7.40489
277,Ferreiros,7870,41.35,-8.55
278,Joane,7869,41.43906,-8.40846
279,Buarcos,7865,40.16604,-8.8768
280,Miranda do Corvo,7857,40.09318,-8.33261
281,Santiago do Cacem,7797,38.01693,-8.69475
282,Sande,7789,41.7019,-8.39246
283,Pragal,7701,38.67459,-9.16981
284,Mira,7682,40.42892,-8.73746
285,Castanheira do Ribatejo,7651,38.99298,-8.97346
286,Vale de Cambra,7649,40.8497,-8.39389
287,Ericeira,7538,38.96275,-9.41563
288,Mondim de Basto,7493,41.41157,-7.95441
289,Miranda do Douro,7482,41.49692,-6.27308
290,Nisa,7450,39.51499,-7.64908
291,Almodovar,7449,37.51279,-8.06008
292,Cantanhede,7347,40.34671,-8.59419
293,Vila Nova da Barquinha,7322,39.46081,-8.43588
294,Vila Nova de Foz Coa,7312,41.08194,-7.14146
295,Apulia e Fao,7301,41.51194,-8.77288
296,Aradas,7295,40.62084,-8.64195
297,Mertola,7274,37.64304,-7.6611
298,Mozelos,7230,41.86774,-8.39776
299,Alhandra,7226,38.92732,-9.00864
300,Reguengos de Monsaraz,7217,38.42529,-7.53494
301,Silvalde,7188,40.99205,-8.62567
302,Apelacao,7182,38.81387,-9.13225
303,Azambuja,7179,39.07029,-8.86822
304,Oia,7118,40.54264,-8.53856
305,Seia,7082,40.4151,-7.70859
306,Jovim,7067,41.11102,-8.51903
307,Ponte,7041,41.47057,-8.3299
308,Valega,7005,40.83629,-8.58061
309,Silveira,6942,39.1112,-9.3643
310,Arrifana,6927,40.91565,-8.49657
311,Arcos,6805,41.52185,-8.42151
312,Pacos de Ferreira,6782,41.27657,-8.37617
313,Amarante,6782,41.27271,-8.08245
314,Sao Joao,6762,40.86802,-8.60672
315,Arcos,6725,40.44779,-8.44171
316,Sobrado,6703,41.21041,-8.45488
317,Aveleda,6671,41.52113,-8.46682
318,Negrelos,6664,41.34946,-8.40145
319,Fazendas de Almeirim,6635,39.17553,-8.56927
320,A dos Cunhados,6594,39.15237,-9.2972
321,Serpa,6586,37.94581,-7.59754
322,Macedo de Cavaleiros,6566,41.53816,-6.9611
323,Avanca,6540,40.80771,-8.5722
324,Prior Velho,6500,38.79174,-9.12119
325,Sao Romao,6500,40.40118,-7.71464
326,Cacilhas,6494,38.68638,-9.14938
327,Sandim,6449,41.03508,-8.507
328,Carrazeda de Anciaes,6373,41.24247,-7.30721
329,Sabrosa,6361,41.26702,-7.57601
330,Tabuaco,6350,41.11615,-7.56793
331,Foz do Sousa,6315,41.09668,-8.50184
332,Lagoa,6301,37.13535,-8.45319
333,Perozinho,6259,41.06513,-8.58531
334,Oliveira do Bairro,6239,40.5146,-8.49386
335,Santa Cruz do Bispo,6230,41.21462,-8.67406
336,Oliveira,6222,41.47819,-8.46965
337,Arruda dos Vinhos,6170,38.98411,-9.07746
338,Aljubarrota,6146,39.56715,-8.92925
339,Marinhas,6052,41.55906,-8.78297
340,Lobao,6049,40.98664,-8.48566
341,Gandra,6034,41.20116,-8.43376
342,Porto de Mos,6032,39.60191,-8.81839
343,Fontanelas,6001,38.84806,-9.43942
344,Eixo,5978,40.62758,-8.56922
345,Olival do Basto,5959,38.79079,-9.16621
346,Milharado,5935,38.94732,-9.19914
